Дата,Морда,Дайджест,Подробнее о событии,Источники,Нет в сюжете,Оперативность,Длина заголовка
2023-09-08,0.09,0.07,0.06,0.07,0.71,0.49,
2023-09-09,0.08,0.03,0.1,0.11,0.67,0.63,
2023-09-11,0.07,0.08,0.08,0.19,0.59,0.41,
2023-09-12,0.14,0.09,0.1,0.13,0.55,0.49,
2023-09-13,0.03,0.11,0.1,0.21,0.55,0.55,
2023-09-14,0.08,0.07,0.08,0.22,0.56,0.48,
2023-09-15,0.08,0.07,0.08,0.2,0.56,0.38,
2023-09-16,0.05,0.09,0.19,0.12,0.54,0.55,
2023-09-17,0.01,0.07,0.08,0.19,0.66,0.52,
2023-09-18,0.09,0.08,0.17,0.14,0.53,0.49,
2023-09-19,0.1,0.08,0.18,0.15,0.49,0.47,
2023-09-20,0.03,0.13,0.1,0.19,0.55,0.59,
2023-09-21,0.04,0.06,0.14,0.15,0.62,0.48,
2023-09-22,0.02,0.08,0.07,0.2,0.63,0.37,
2023-09-23,0.06,0.05,0.16,0.13,0.6,0.57,
2023-09-24,0.02,0.05,0.08,0.09,0.76,0.64,
2023-09-25,0.03,0.09,0.18,0.16,0.54,0.49,
2023-09-26,0.11,0.09,0.12,0.18,0.5,0.5,
2023-09-27,0.07,0.12,0.14,0.18,0.48,0.43,
2023-09-28,0.06,0.1,0.13,0.16,0.54,0.44,
2023-09-29,0.05,0.08,0.1,0.17,0.6,0.42,
2023-09-30,0.04,0.09,0.2,0.22,0.46,0.44,
2023-10-01,0.07,0.09,0.13,0.23,0.48,0.49,1.06
2023-10-02,0.05,0.12,0.11,0.16,0.55,0.46,1.08
2023-10-03,0.03,0.11,0.14,0.3,0.42,0.52,1.12
2023-10-04,0.06,0.11,0.11,0.27,0.46,0.49,1.04
2023-10-05,0.05,0.11,0.14,0.22,0.49,0.54,1.02
2023-10-06,0.04,0.06,0.12,0.2,0.58,0.42,1.08
2023-10-07,0.08,0.08,0.08,0.22,0.54,0.46,1.05
2023-10-08,0.05,0.03,0.11,0.18,0.62,0.5,1.12
2023-10-09,0.05,0.05,0.09,0.22,0.59,0.42,1.29
2023-10-10,0.07,0.05,0.1,0.23,0.55,0.51,1.11
2023-10-11,0.04,0.1,0.12,0.15,0.59,0.47,1.06
