Дата,Морда,Дайджест,Подробнее о событии,Источники,Нет в сюжете,Оперативность,Длина заголовка,Визиты
2023-11-28,0.01,0.06,0.14,0.18,0.62,0.3,1.06,315444.0
2023-11-27,0.04,0.13,0.13,0.19,0.51,0.32,1.14,537761.0
2023-11-26,0.04,0.03,0.14,0.22,0.57,0.33,1.09,156078.0
2023-11-25,0.03,0.04,0.15,0.28,0.51,0.37,1.05,207434.0
2023-11-24,0.04,0.08,0.18,0.2,0.49,0.37,1.0,278786.0
2023-11-23,0.05,0.09,0.14,0.28,0.43,0.34,1.07,481036.0
2023-11-22,0.05,0.05,0.15,0.24,0.52,0.3,1.1,380979.0
2023-11-21,0.06,0.13,0.17,0.22,0.41,0.33,1.1,568975.0
2023-11-20,0.05,0.05,0.12,0.3,0.49,0.26,1.19,380887.0
2023-11-19,0.07,0.11,0.09,0.25,0.49,0.33,1.2,325979.0
2023-11-18,0.03,0.13,0.21,0.25,0.38,0.35,1.05,547897.0
2023-11-17,0.05,0.1,0.1,0.3,0.45,0.25,1.09,547911.0
2023-11-16,0.09,0.15,0.18,0.25,0.33,0.37,1.1,685572.0
2023-11-15,0.09,0.11,0.12,0.31,0.37,0.33,1.12,435720.0
2023-11-14,0.04,0.09,0.11,0.27,0.5,0.19,1.07,570771.0
2023-11-13,0.06,0.06,0.15,0.22,0.51,0.41,1.11,368654.0
2023-11-12,0.06,0.07,0.1,0.28,0.49,0.45,1.06,234549.0
2023-11-11,0.08,0.09,0.12,0.21,0.49,0.45,1.11,271369.0
2023-11-10,0.04,0.14,0.09,0.29,0.44,0.49,1.07,266256.0
2023-11-09,0.07,0.09,0.15,0.24,0.45,0.46,1.14,711094.0
2023-11-08,0.08,0.09,0.09,0.23,0.52,0.49,1.07,584350.0
2023-11-07,0.04,0.11,0.19,0.14,0.52,0.54,1.09,423316.0
2023-11-06,0.06,0.11,0.11,0.18,0.54,0.48,1.12,396639.0
2023-11-05,0.11,0.1,0.12,0.18,0.5,0.44,1.03,353938.0
2023-11-04,0.09,0.1,0.15,0.24,0.41,0.41,1.15,359866.0
2023-11-03,0.04,0.13,0.13,0.19,0.51,0.52,1.07,349399.0
2023-11-02,0.07,0.12,0.2,0.13,0.48,0.6,1.01,705421.0
2023-11-01,0.01,0.1,0.22,0.15,0.52,0.47,1.06,525185.0
2023-10-31,0.06,0.11,0.15,0.24,0.43,0.56,1.11,500265.0
2023-10-30,0.08,0.09,0.13,0.21,0.5,0.47,1.16,534704.0
2023-10-29,0.03,0.07,0.24,0.16,0.5,0.56,1.26,302928.0
2023-10-28,0.02,0.06,0.16,0.17,0.59,0.51,1.11,388795.0
2023-10-27,0.06,0.06,0.1,0.22,0.56,0.34,1.16,342942.0
2023-10-26,0.01,0.09,0.19,0.22,0.49,0.41,1.13,365550.0
2023-10-25,0.07,0.11,0.11,0.2,0.52,0.4,1.06,470263.0
2023-10-24,0.05,0.07,0.07,0.25,0.56,0.41,1.09,390206.0
2023-10-23,0.03,0.1,0.1,0.19,0.59,0.49,1.11,325812.0
2023-10-22,0.04,0.07,0.11,0.2,0.57,0.53,1.2,205421.0
2023-10-21,0.03,0.12,0.15,0.21,0.5,0.47,1.07,499100.0
2023-10-20,0.03,0.15,0.08,0.27,0.48,0.48,1.1,407125.0
2023-10-19,0.06,0.14,0.17,0.23,0.4,0.48,1.08,445633.0
2023-10-18,0.06,0.09,0.13,0.22,0.5,0.49,1.05,546235.0
2023-10-17,0.06,0.12,0.19,0.29,0.35,0.57,1.19,516263.0
2023-10-16,0.06,0.12,0.16,0.21,0.45,0.57,1.14,464832.0
2023-10-15,0.06,0.08,0.13,0.14,0.59,0.5,1.12,294202.0
2023-10-14,0.03,0.01,0.03,0.16,0.76,0.51,1.21,183958.0
2023-10-13,0.05,0.09,0.06,0.17,0.63,0.4,1.14,422193.0
2023-10-12,0.02,0.09,0.16,0.18,0.55,0.49,1.12,437964.0
2023-10-11,0.04,0.09,0.15,0.14,0.58,0.5,1.1,449948.0
2023-10-10,0.07,0.05,0.1,0.23,0.55,0.51,1.11,338984.0
2023-10-09,0.05,0.05,0.09,0.22,0.59,0.42,1.29,424594.0
2023-10-08,0.05,0.03,0.11,0.18,0.62,0.5,1.12,192870.0
2023-10-07,0.08,0.08,0.08,0.22,0.54,0.46,1.05,397800.0
2023-10-06,0.04,0.06,0.12,0.2,0.58,0.42,1.08,309092.0
2023-10-05,0.05,0.11,0.14,0.22,0.49,0.54,1.02,418630.0
2023-10-04,0.06,0.11,0.11,0.27,0.46,0.49,1.04,419064.0
2023-10-03,0.03,0.11,0.14,0.3,0.42,0.52,1.12,393968.0
2023-10-02,0.05,0.12,0.11,0.16,0.55,0.46,1.08,349208.0
2023-10-01,0.07,0.09,0.13,0.23,0.48,0.49,1.06,526179.0
2023-09-30,0.04,0.09,0.2,0.22,0.46,0.44,,278330.0
2023-09-29,0.05,0.08,0.1,0.17,0.6,0.42,,387595.0
2023-09-28,0.06,0.1,0.13,0.16,0.54,0.44,,409928.0
2023-09-27,0.07,0.12,0.14,0.18,0.48,0.43,,442031.0
2023-09-26,0.11,0.09,0.12,0.18,0.5,0.5,,554324.0
2023-09-25,0.03,0.09,0.18,0.16,0.54,0.49,,640228.0
2023-09-24,0.02,0.05,0.08,0.09,0.76,0.64,,179947.0
2023-09-23,0.06,0.05,0.16,0.13,0.6,0.57,,273595.0
2023-09-22,0.02,0.08,0.07,0.2,0.63,0.37,,429512.0
2023-09-21,0.04,0.06,0.14,0.15,0.62,0.48,,361208.0
2023-09-20,0.03,0.13,0.1,0.19,0.55,0.59,,574631.0
2023-09-19,0.1,0.08,0.18,0.15,0.49,0.47,,517824.0
2023-09-18,0.09,0.08,0.17,0.14,0.53,0.49,,621869.0
2023-09-17,0.01,0.07,0.08,0.19,0.66,0.52,,240391.0
2023-09-16,0.05,0.09,0.19,0.12,0.54,0.55,,567293.0
2023-09-15,0.08,0.07,0.08,0.2,0.56,0.38,,366551.0
2023-09-14,0.08,0.07,0.08,0.22,0.56,0.48,,288747.0
2023-09-13,0.03,0.11,0.1,0.21,0.55,0.55,,490067.0
2023-09-12,0.14,0.09,0.1,0.13,0.55,0.49,,715216.0
2023-09-11,0.07,0.08,0.08,0.19,0.59,0.41,,299901.0
2023-09-09,0.08,0.03,0.1,0.11,0.67,0.63,,257250.0
2023-09-08,0.09,0.07,0.06,0.07,0.71,0.49,,314098.0
2023-09-07,0.06,0.11,0.16,0.18,0.49,0.41,1.26,402682.0
2023-09-06,0.07,0.08,0.24,0.19,0.42,0.34,1.22,756670.0
2023-09-05,0.03,0.06,0.11,0.21,0.58,0.36,1.36,376608.0
2023-09-04,0.05,0.07,0.2,0.15,0.52,0.32,1.11,652404.0
2023-09-03,0.05,0.04,0.16,0.11,0.64,0.42,1.1,280857.0
2023-09-02,0.12,0.06,0.14,0.18,0.5,0.29,1.05,590096.0
2023-09-01,0.05,0.02,0.09,0.26,0.57,0.25,1.25,302381.0
2023-08-31,0.05,0.12,0.15,0.17,0.52,0.26,1.21,461553.0
2023-08-30,0.04,0.05,0.12,0.21,0.58,0.26,1.17,437686.0
2023-08-29,0.07,0.07,0.12,0.17,0.58,0.39,1.12,534704.0
2023-08-28,0.05,0.06,0.18,0.24,0.47,0.34,1.16,368191.0
2023-08-27,0.05,0.09,0.14,0.27,0.46,0.3,1.18,271688.0
2023-08-26,0.09,0.1,0.13,0.23,0.44,0.3,1.18,290833.0
2023-08-25,0.04,0.08,0.11,0.26,0.52,0.29,1.21,447908.0
2023-08-24,0.09,0.06,0.17,0.24,0.45,0.26,1.11,1016418.0
2023-08-23,0.07,0.09,0.13,0.27,0.45,0.31,1.24,543645.0
2023-08-22,0.06,0.05,0.21,0.3,0.39,0.33,1.25,786105.0
2023-08-21,0.06,0.12,0.09,0.35,0.38,0.24,1.2,525911.0
2023-08-20,0.02,0.13,0.05,0.27,0.53,0.32,1.17,410886.0
2023-08-19,0.03,0.13,0.13,0.19,0.52,0.3,1.31,364922.0
2023-08-18,0.03,0.17,0.16,0.23,0.41,0.32,1.17,468855.0
2023-08-17,0.06,0.17,0.13,0.22,0.43,0.32,1.14,433014.0
2023-08-16,0.08,0.09,0.18,0.24,0.41,0.41,1.27,483963.0
2023-08-15,0.09,0.08,0.17,0.24,0.42,0.39,1.12,556456.0
2023-08-14,0.05,0.09,0.23,0.25,0.38,0.29,1.17,503776.0
2023-08-13,0.11,0.05,0.18,0.26,0.41,0.33,1.17,483502.0
2023-08-12,0.07,0.08,0.15,0.19,0.51,0.31,1.16,312829.0
2023-08-11,0.07,0.07,0.15,0.28,0.43,0.3,1.16,502007.0
2023-08-10,0.07,0.06,0.2,0.26,0.42,0.31,1.1,519212.0
2023-08-09,0.09,0.08,0.21,0.25,0.37,0.33,1.27,566741.0
2023-08-08,0.04,0.15,0.14,0.27,0.41,0.31,1.19,378503.0
2023-08-07,0.06,0.08,0.15,0.28,0.44,0.19,1.15,542937.0
2023-08-06,0.03,0.06,0.1,0.19,0.62,0.38,1.04,315382.0
2023-08-05,0.07,0.08,0.11,0.25,0.5,0.38,1.17,410237.0
2023-08-04,0.06,0.1,0.11,0.33,0.41,0.25,1.14,541728.0
2023-08-03,0.03,0.12,0.09,0.43,0.34,0.27,1.15,489336.0
2023-08-02,0.05,0.08,0.2,0.3,0.37,0.23,1.09,498383.0
2023-08-01,0.06,0.06,0.14,0.31,0.43,0.27,1.18,472390.0
2023-07-31,0.05,0.11,0.13,0.3,0.41,0.31,1.12,391350.0
2023-07-30,0.03,0.1,0.05,0.22,0.6,0.45,1.06,500785.0
2023-07-29,0.05,0.08,0.07,0.25,0.54,0.3,1.1,352100.0
2023-07-28,0.07,0.11,0.11,0.32,0.39,0.32,1.11,533087.0
2023-07-27,0.1,0.1,0.18,0.27,0.35,0.32,1.24,536883.0
2023-07-26,0.05,0.12,0.23,0.21,0.39,0.32,1.21,538016.0
2023-07-25,0.08,0.11,0.23,0.27,0.32,0.23,1.2,515468.0
2023-07-24,0.07,0.18,0.24,0.19,0.32,0.24,1.27,654161.0
2023-07-23,0.08,0.1,0.16,0.29,0.38,0.22,1.15,619233.0
2023-07-22,0.02,0.05,0.17,0.38,0.39,0.27,1.22,497826.0
2023-07-21,0.03,0.05,0.28,0.25,0.39,0.23,1.42,423497.0
2023-07-20,0.08,0.08,0.17,0.28,0.39,0.26,1.26,775099.0
